N,T1,T2,alt,dp1,dp1_dot,dp2,dp2_dot,dy1,dy1_dot,dy2,dy2_dot,family,iters,lands,margin,outcome,p,phi,plant,pos_err,psi,q,r,rate_deg,sample,theta,tilt_deg,u,v,v_horiz,v_vert,w,wall,x_E,y_E,y_eng
42,10646.710216850042,10778.647105842829,548.8421901129186,2.471988033503295,10.570043706893923,0.034464966505765915,9.791495499014857,-1.5183577984571457,2.0207207232713706,0.02798793464899063,-6.802321234345437,engine_out,74,False,13.083484206223025,gate_miss,-7.396114384755492,17.314655287191272,engout_y0.25,1.8088304841146705,-24.865851923823357,-14.214340411126614,15.489163529127836,11.305493995995576,20,5.839296290650964,50.9170879816792,-22.05243453849107,5.51817112416029,14.679585930613156,39.25045261866907,3.8639602782204747,15.400212526321411,-237.94797845184803,716.3303816691041,0.25
62,6177.008340954781,16554.370265230536,1042.0048664323986,-5.793223444372416,-11.794749274849893,4.414042465388776,-8.285219353437425,0.012130346149206161,-10.313166484236719,-2.4872749820351605,13.78329770565033,engine_out,82,True,0.6010281714955663,land,18.343815207481384,-19.84742465429008,engout_y0.25,0.013887413391774102,-11.65540099143982,-17.93122491799295,23.252798849716783,0.7713385471090993,21,19.70515246503055,0.5867780510486232,-13.175181718543172,-7.175866641104221,0.0030578776821297026,1.803084514486699,8.263338612392545,24.94973635673523,-375.2097599208355,-167.23687034100294,0.25
38,15842.30575285852,6287.899955958128,448.7060288898647,1.9273260310292244,0.32592742145061493,-4.051823113113643,1.362048482894897,-4.448021080344916,8.803064140677453,1.6417832896113396,-11.426308250427248,engine_out,54,True,0.7872367889218386,land,-0.2939101308584213,5.480260215699673,engout_y0.25,0.05758880288180497,18.155499920248985,18.212101934477687,-1.9639768172055483,2.9140526761676324,22,-7.613111799582839,4.723420733531031,9.085378218442202,2.2678024247288704,0.08939138431053806,1.8036099857941288,23.843554133549333,11.8306725025177,362.0834983885288,153.88545412570238,0.25
70,11262.077687457204,19178.424126654863,1252.1139211952686,-2.805014748126269,-4.1754696607589725,-1.2175333611667156,-1.3443181961774826,-0.28299036249518394,6.525795972347261,-3.1675472594797616,-3.92156974375248,engine_out,75,True,0.6010257674170253,land,-22.625314304605126,-10.442076995968819,engout_y0.25,0.014178012671213287,21.84717185795307,2.8785199858248234,-17.24997879937291,0.7874719328136971,23,-12.671249452978373,0.6035508011075891,-23.4277231618762,9.026042349636555,0.003291912307556174,1.8030773022510758,14.966629328206182,28.01220941543579,668.3573937043548,-583.9006215333939,0.25
46,20887.109567672014,8883.857448622584,659.357175976038,4.938791267573834,8.908460390567782,0.8268233835697174,8.808842691779137,4.157156791538001,-5.3517663180828094,4.012674149125815,6.953092440962791,engine_out,65,False,3.8676556235824635,gate_miss,9.324513142928481,15.020654210820794,engout_y0.25,2.2819902911484222,-28.356718868017197,-1.6210824251174927,7.289283536374569,4.311934675764244,24,0.5807468667626381,18.64079942428602,-2.4830070044845343,-4.967797972261906,2.226773516229019,11.602966870747391,-0.39102100394666195,15.934858322143555,-627.03961674124,570.4385608434677,0.25
56,18756.38127744198,21657.91748225689,904.5718442648649,-4.328975021839143,-0.38411343991756475,2.6545948460698137,4.44722399711609,-2.6764840297400956,0.023356112837792153,1.1858127526938915,-8.221229651570322,engine_out,152,False,inf,no_recovery,21.358046540990472,21.519875014200807,engout_y0.25,nan,-31.139118149876595,-12.098441226407886,-23.284014873206615,nan,25,12.376862904056907,nan,-18.62473097164184,8.500842489302158,nan,nan,24.764045793563128,35.37794494628906,808.309336937964,818.8698275014758,0.25
52,3107.409017831087,3709.8974922299385,797.3275779746473,3.683191169053317,4.114262133836746,5.585564240813256,-3.6490524262189865,-4.59165207669139,13.054928076267245,-5.711658261716367,-1.6142494082450867,engine_out,195,True,0.601064121532743,land,6.063948106020689,-13.933713687583804,engout_y0.25,0.013214245045226116,-8.853617534041405,-21.57264780253172,-7.306718220934272,0.7303265954477136,26,17.434905841946602,0.5553869103387313,5.136885060928762,3.2678714767098427,0.0026934967290273156,1.803192364598229,16.108712535351515,38.0547080039978,214.57818634808064,-355.9505570679903,0.25
70,13720.793740227818,13995.814334228635,1389.4120841287076,-1.3169618099927902,-8.84533036351204,-5.974082853645087,11.454592546820642,2.968246679753066,-10.979634565114976,5.241348333656789,1.946245944499971,engine_out,121,True,0.6011758554449201,land,-13.164149317890406,12.260671891272068,engout_y0.25,0.010762349676507424,0.9375230967998505,20.412887912243605,17.269033519551158,0.7570268108649726,27,-5.344391521066427,0.6276691746817027,-9.22815767582506,-11.09804130345583,0.0057002501799963,1.8035275663347603,-1.5330077074468136,38.20797348022461,-173.34999851882458,342.49613396823406,0.25
59,2671.837640181184,18876.00056000054,973.1973187066615,0.47692645713686943,12.220154303312302,0.25544169545173645,9.956009459495547,5.689844772219659,-13.303698509931566,3.1001516617834577,-0.8097667604684826,engine_out,117,False,1.7049637790123342,gate_miss,2.885085204616189,-16.85018353164196,engout_y0.25,0.2604450783423032,-35.16736388206482,0.7152560167014599,-1.079121744260192,4.4277409343890985,28,-6.3109904527664185,10.229782674074006,-22.320041181519628,7.456474095582962,0.6589280191868909,1.8661116750267366,-0.2812654413282871,31.863913536071777,-221.43944464623928,-851.6629977151752,0.25
70,7667.845822274685,16263.978219032288,1320.8039803430438,3.4887086413800725,3.7501761585474007,-3.123201940208674,2.943065509200096,-5.960745222866536,2.691511854529381,2.472318872809411,10.735723543167115,engine_out,134,True,0.600999265916287,land,-6.440261844545603,-1.3039301615208387,engout_y0.25,0.013848428506499163,5.053958967328072,-16.96453015320003,8.369737397879362,0.758263391203363,29,0.8395515847951174,0.5876570360420396,-14.280708692967892,-9.306472107768059,0.003125798644238489,1.8029977977488612,22.92215509340167,40.705081939697266,823.8788226619363,-435.16490310430527,0.25
49,19902.97653608024,6620.287395492196,728.1649900600314,-1.167203150689602,-8.483002254366877,3.514535777270795,-10.753876706957818,1.5731524676084518,-0.28097048699855875,-1.6273822635412216,-7.252800250053407,engine_out,69,False,2.181071372750894,gate_miss,24.33147905394435,24.850782565772533,engout_y0.25,0.9795519976907858,-4.834990352392197,15.658260276541114,-17.158270068466663,5.293078810626279,30,-13.736859941855073,13.086428236505363,5.807360270991921,5.249503701925278,0.7972377609455115,2.0499249199198677,7.599622253328562,17.204238653182983,-809.0183487161994,448.5162153840065,0.25
41,12328.61633643508,4039.5003389567137,517.0461701229215,-5.972278933972121,-12.269579207897188,-5.045464541763068,13.037693381309513,1.4353925585746765,-6.33327392935753,5.644176810979844,-4.914961874485016,engine_out,57,False,1.9435625564008152,gate_miss,-19.164160266518593,-7.107778592035174,engout_y0.25,1.7686523607521876,12.87695199251175,-19.4144144654274,-23.582859430462122,4.67991541868985,31,11.312683206051588,11.661375338404891,1.858876501210034,1.2265525460243225,0.6163025170368808,4.930167432227716,-1.1655322145670652,13.877119779586792,-667.6656553521752,-173.7202288582921,0.25
64,20453.08298267424,13703.275879770517,1110.8983116224408,2.151105388998986,0.8025150060653683,4.6860604137182245,-6.116278070211411,-3.010476373136044,5.157540428638459,-5.174055755138398,5.922892248630525,engine_out,124,True,0.6010247357866147,land,12.19823881983757,18.35113186389208,engout_y0.25,0.013843878998645514,-16.992389634251595,19.841753039509058,1.1210182681679726,0.7468201017835442,32,-24.20846540480852,0.5912409326723367,-10.333694037981331,-8.40791268646717,0.003235878259471277,1.8030742073598442,16.218497479334474,35.096627712249756,624.6551832184196,187.17453461140394,0.25
44,7323.295364901423,11725.070190280676,591.0008524544537,-2.960675653070212,-3.695807245373727,2.083216018974782,5.592300090193749,-1.1639256700873375,10.113722142577174,0.7010002322494984,13.04267325103283,engine_out,68,True,0.6010444664673124,land,14.869837975129485,-22.763466089963913,engout_y0.25,0.0037908582675903247,-22.990580424666405,10.56281286291778,17.165024438872933,0.73105391540922,33,-5.84132862277329,1.0291279837630771,-4.008644060231745,-3.1731102615594864,0.0321156882842445,1.803133399401937,24.100425692275167,15.169916152954102,370.1887182891369,-650.1487199217081,0.25
67,15328.511490523815,21357.640474662185,1183.2366828806698,5.1390844881534585,8.427040323615074,-1.6955501921474934,-13.055064412951472,3.302222192287446,-8.601698049902918,-1.1714860908687115,-12.260209634900095,engine_out,290,True,0.6009953767214976,land,-3.1803651247173548,2.5619360152632,engout_y0.25,0.008829704004660084,27.11550161242485,-9.549534833058715,-8.375059487298131,0.3390880918077394,34,18.7386489007622,0.30297492897322803,-17.517072982154787,11.004933714866638,0.0009181759210986474,1.8029861301644927,6.421322027221322,72.43514037132263,-355.23930564522743,663.4941514581442,0.25
