y_eng_m,a_x,a_y,a_z,roll_degs2,pitch_degs2,yaw_degs2,roll_ratio,pitch_ratio,yaw_ratio
1.390,0.773779,0.773779,6.07185,417.934,148.465,108.795,2.8150,1.0000,3.1626
1.400,0.773779,0.773779,6.07185,420.325,148.465,109.33,2.8311,1.0000,3.1782
1.410,0.773779,0.773779,6.07185,422.716,148.465,109.865,2.8472,1.0000,3.1937
1.420,0.773779,0.773779,6.07185,425.106,148.465,110.4,2.8633,1.0000,3.2093
1.430,0.773779,0.773779,6.07185,427.497,148.465,110.935,2.8794,1.0000,3.2248
1.440,0.773779,0.773779,6.07185,429.887,148.465,111.471,2.8955,1.0000,3.2404
1.450,0.773779,0.773779,6.07185,432.278,148.465,112.006,2.9116,1.0000,3.2560
1.460,0.773779,0.773779,6.07185,434.668,148.465,112.541,2.9277,1.0000,3.2715
1.470,0.773779,0.773779,6.07185,437.059,148.465,113.076,2.9438,1.0000,3.2871
1.480,0.773779,0.773779,6.07185,439.449,148.465,113.611,2.9599,1.0000,3.3026
1.490,0.773779,0.773779,6.07185,441.84,148.465,114.147,2.9760,1.0000,3.3182
1.500,0.773779,0.773779,6.07185,444.23,148.465,114.682,2.9921,1.0000,3.3338
1.510,0.773779,0.773779,6.07185,446.621,148.465,115.217,3.0082,1.0000,3.3493
1.520,0.773779,0.773779,6.07185,449.011,148.465,115.752,3.0244,1.0000,3.3649
1.530,0.773779,0.773779,6.07185,451.402,148.465,116.287,3.0405,1.0000,3.3804
1.540,0.773779,0.773779,6.07185,453.792,148.465,116.823,3.0566,1.0000,3.3960
1.550,0.773779,0.773779,6.07185,456.183,148.465,117.358,3.0727,1.0000,3.4115
1.560,0.773779,0.773779,6.07185,458.573,148.465,117.893,3.0888,1.0000,3.4271
1.570,0.773779,0.773779,6.07185,460.964,148.465,118.428,3.1049,1.0000,3.4427
1.580,0.773779,0.773779,6.07185,463.354,148.465,118.964,3.1210,1.0000,3.4582
1.590,0.773779,0.773779,6.07185,465.745,148.465,119.499,3.1371,1.0000,3.4738
1.600,0.773779,0.773779,6.07185,468.135,148.465,120.034,3.1532,1.0000,3.4893
1.610,0.773779,0.773779,6.07185,470.526,148.465,120.569,3.1693,1.0000,3.5049
1.620,0.773779,0.773779,6.07185,472.916,148.465,121.104,3.1854,1.0000,3.5205
1.630,0.773779,0.773779,6.07185,475.307,148.465,121.64,3.2015,1.0000,3.5360
1.640,0.773779,0.773779,6.07185,477.698,148.465,122.175,3.2176,1.0000,3.5516
1.650,0.773779,0.773779,6.07185,480.088,148.465,122.71,3.2337,1.0000,3.5671
1.660,0.773779,0.773779,6.07185,482.479,148.465,123.245,3.2498,1.0000,3.5827
1.670,0.773779,0.773779,6.07185,484.869,148.465,123.78,3.2659,1.0000,3.5982
1.680,0.773779,0.773779,6.07185,487.26,148.465,124.316,3.2820,1.0000,3.6138
1.690,0.773779,0.773779,6.07185,489.65,148.465,124.851,3.2981,1.0000,3.6294
1.700,0.773779,0.773779,6.07185,492.041,148.465,125.386,3.3142,1.0000,3.6449
1.710,0.773779,0.773779,6.07185,494.431,148.465,125.921,3.3303,1.0000,3.6605
1.720,0.773779,0.773779,6.07185,496.822,148.465,126.456,3.3464,1.0000,3.6760
1.730,0.773779,0.773779,6.07185,499.212,148.465,126.992,3.3625,1.0000,3.6916
1.740,0.773779,0.773779,6.07185,501.603,148.465,127.527,3.3786,1.0000,3.7072
1.750,0.773779,0.773779,6.07185,503.993,148.465,128.062,3.3947,1.0000,3.7227
1.760,0.773779,0.773779,6.07185,506.384,148.465,128.597,3.4108,1.0000,3.7383
1.770,0.773779,0.773779,6.07185,508.774,148.465,129.133,3.4269,1.0000,3.7538
1.780,0.773779,0.773779,6.07185,511.165,148.465,129.668,3.4430,1.0000,3.7694
