579 of 800 rows produced a trajectory; re-solving those to keep it
  [traj] 453/579  4486s elapsed
  [traj] 454/579  4504s elapsed
  [traj] 455/579  4507s elapsed
  [traj] 456/579  4519s elapsed
  [traj] 457/579  4525s elapsed
  [traj] 458/579  4530s elapsed
  [traj] 459/579  4533s elapsed
  [traj] 460/579  4549s elapsed
  [traj] 461/579  4557s elapsed
  [traj] 462/579  4574s elapsed
  [traj] 463/579  4580s elapsed
  [traj] 464/579  4587s elapsed
  [traj] 465/579  4589s elapsed
  [traj] 466/579  4606s elapsed
  [t  [traj] 467/579  4560s elap  [traj] 468/579  4623s elapsed
  [traj] 469/579  4634s elapsed
  [traj] 470/579  4642s elapsed
  [t  [traj] 471/579  4597s elap  [traj] 472/579  4664s elapsed
  [traj] 473/579  4667s elapsed
  [traj] 474/579  4679s elapsed
  [traj] 475/579  4684s elapsed
  [t  [traj] 476/579  4642s elap  [traj] 477/579  4710s elapsed
  [traj] 478/579  4719s elapsed
  [traj] 479/579  4736s elapsed
  [t  [traj] 480/579  4691s elap  [t  [traj] 481/579  4695s elap  [t  [traj] 482/579  4705s elap  [traj] 483/579  4778s elapsed
  [traj] 484/579  4786s elapsed
  [traj] 485/579  4799s elapsed
  [traj] 486/579  4807s elapsed
  [traj] 487/579  4812s elapsed
  [t  [traj] 488/579  4763s elap  [traj] 489/579  4820s elapsed
  [traj] 490/579  4833s elapsed
  [t  [traj] 491/579  4789s elap  [t  [traj] 492/579  4795s elapsed
  [traj] 493/579  4797s elap  [traj] 494/579  4852s elapsed
  [traj] 495/579  4871s elapsed
  [t  [traj] 496/579  4831s elapsed
  [traj] 497/579  4834s elap  [traj] 498/579  4896s elapsed
  [t  [traj] 499/579  4850s elap  [traj] 500/579  4907s elapsed
  [traj] 501/579  4911s elapsed
  [t  [traj] 502/579  4884s elapsed
  [traj] 503/579  4885s elap  [traj] 504/579  4944s elapsed
  [traj] 505/579  4953s elapsed
  [traj] 506/579  4954s elapsed
  [traj] 507/579  4987s elapsed
  [t  [traj] 508/579  4940s elapsed
  [traj] 509/579  4941s elapsed
  [traj] 510/579  4944s elapsed
  [traj] 511/579  4948s elap  [traj] 512/579  5029s elapsed
  [traj] 513/579  5036s elapsed
  [traj] 514/579  5038s elapsed
  [traj] 515/579  5054s elapsed
  [traj] 516/579  5056s elapsed
  [traj] 517/579  5079s elapsed
  [traj] 518/579  5093s elapsed
  [traj] 519/579  5096s elapsed
  [traj] 520/579  5099s elapsed
  [traj] 521/579  5101s elapsed
  [traj] 522/579  5125s elapsed
  [traj] 523/579  5134s elapsed
  [traj] 524/579  5149s elapsed
  [traj] 525/579  5150s elapsed
  [traj] 526/579  5153s elapsed
  [traj] 527/579  5166s elapsed
