Study G — 16 faults x 5 regimes x 10 ICs = 800 solves
  [approach] admissible 1.000 (128/128); rejects: {}
  [dispersed] admissible 0.875 (112/128); rejects: {'outside_glide_cone': 16}
  [upset] admissible 1.000 (128/128); rejects: {}
  [low_late] admissible 0.797 (102/128); rejects: {'outside_glide_cone': 26}
  [critical] admissible 0.828 (106/128); rejects: {'outside_glide_cone': 22}
  [G] 476/800  4999s elapsed
  [G] 477/800  5001s elapsed
  [G] 478/800  5010s elapsed
  [G] 479/800  5013s elapsed
  [G] 480/800  5016s elapsed
  [G] 481/800  5017s elapsed
  [G] 482/800  5021s elapsed
  [G] 483/800  5021s elapsed
  [G] 484/800  5024s elapsed
  [G] 485/800  5027s elapsed
  [G] 486/800  5032s elapsed
  [G] 487/800  5033s elapsed
  [G] 488/800  5035s elapsed
  [G] 489/800  5043s elapsed
  [G] 490/800  5045s elapsed
  [G] 491/800  5054s elapsed
  [G] 492/800  5065s elapsed
  [G] 493/800  5076s elapsed
  [G] 494/800  5083s elapsed
  [G] 495/800  5086s elapsed
  [G] 496/800  5093s elapsed
  [G] 497/800  5095s elapsed
  [G] 498/800  5110s elapsed
  [G] 499/800  5119s elapsed
  [G] 500/800  5129s elapsed
  [G] 501/800  5172s elapsed
  [G] 502/800  5173s elapsed
  [G] 503/800  5181s elapsed
  [G] 504/800  5197s elapsed
  [G] 505/800  5225s elapsed
  [G] 506/800  5272s elapsed
  [G] 507/800  5278s elapsed
  [G] 508/800  5279s elapsed
  [G] 509/800  5284s elapsed
  [G] 510/800  5291s elapsed
  [G] 511/800  5292s elapsed
  [G] 512/800  5294s elapsed
  [G] 513/800  5296s elapsed
  [G] 514/800  5302s elapsed
  [G] 515/800  5305s elapsed
  [G] 516/800  5308s elapsed
  [G] 517/800  5315s elapsed
  [G] 518/800  5320s elapsed
  [G] 519/800  5324s elapsed
  [G] 520/800  5329s elapsed
  [G] 521/800  5331s elapsed
  [G] 522/800  5337s elapsed
  [G] 523/800  5343s elapsed
  [G] 524/800  5349s elapsed
  [G] 525/800  5353s elapsed
  [G] 526/800  5359s elapsed
  [G] 527/800  5363s elapsed
  [G] 528/800  5366s elapsed
  [G] 529/800  5377s elapsed
  [G] 530/800  5419s elapsed
  [G] 531/800  5423s elapsed
  [G] 532/800  5426s elapsed
  [G] 533/800  5429s elapsed
  [G] 534/800  5440s elapsed
  [G] 535/800  5476s elapsed
  [G] 536/800  5500s elapsed
  [G] 537/800  5506s elapsed
  [G] 538/800  5507s elapsed
  [G] 539/800  5508s elapsed
  [G] 540/800  5514s elapsed
  [G] 541/800  5518s elapsed
  [G] 542/800  5519s elapsed
  [G] 543/800  5520s elapsed
  [G] 544/800  5527s elapsed
  [G] 545/800  5531s elapsed
  [G] 546/800  5532s elapsed
  [G] 547/800  5544s elapsed
  [G] 548/800  5558s elapsed
  [G] 549/800  5569s elapsed
