Study F — 48 initial conditions x 12 plants = 576 solves
  admissible fraction 0.883 of the raw box (226/256); rejects: {'outside_glide_cone': 30}
  [F] 513/576  8451s elapsed
  [F] 514/576  8467s elapsed
  [F] 515/576  8479s elapsed
  [F] 516/576  8487s elapsed
  [F] 517/576  8496s elapsed
  [F] 518/576  8517s elapsed
  [F] 519/576  8527s elapsed
  [F] 520/576  8529s elapsed
  [F] 521/576  8537s elapsed
  [F] 522/576  8542s elapsed
  [F] 523/576  8576s elapsed
  [F] 524/576  8592s elapsed
  [F] 525/576  8594s elapsed
  [F] 526/576  8598s elapsed
  [F] 527/576  8611s elapsed
  [F] 528/576  8622s elapsed
  [F] 529/576  8633s elapsed
  [F] 530/576  8641s elapsed
  [F] 531/576  8658s elapsed
  [F] 532/576  8672s elapsed
  [F] 533/576  8678s elapsed
  [F] 534/576  8700s elapsed
  [F] 535/576  8705s elapsed
  [F] 536/576  8716s elapsed
  [F] 537/576  8730s elapsed
  [F] 538/576  8741s elapsed
  [F] 539/576  8750s elapsed
  [F] 540/576  8773s elapsed
  [F] 541/576  8774s elapsed
  [F] 542/576  8796s elapsed
  [F] 543/576  8796s elapsed
  [F] 544/576  8812s elapsed
  [F] 545/576  8818s elapsed
  [F] 546/576  8832s elapsed
  [F] 547/576  8844s elapsed
  [F] 548/576  8861s elapsed
  [F] 549/576  8865s elapsed
  [F] 550/576  8870s elapsed
  [F] 551/576  8893s elapsed
  [F] 552/576  8896s elapsed
  [F] 553/576  8897s elapsed
  [F] 554/576  8905s elapsed
  [F] 555/576  8928s elapsed
  [F] 556/576  8956s elapsed
  [F] 557/576  8964s elapsed
  [F] 558/576  8968s elapsed
  [F] 559/576  8978s elapsed
  [F] 560/576  8999s elapsed
  [F] 561/576  9005s elapsed
  [F] 562/576  9017s elapsed
  [F] 563/576  9039s elapsed
  [F] 564/576  9051s elapsed
  [F] 565/576  9056s elapsed
  [F] 566/576  9081s elapsed
  [F] 567/576  9086s elapsed
  [F] 568/576  9090s elapsed
  [F] 569/576  9109s elapsed
  [F] 570/576  9111s elapsed
  [F] 571/576  9131s elapsed
  [F] 572/576  9148s elapsed
  [F] 573/576  9158s elapsed
  [F] 574/576  9174s elapsed
  [F] 575/576  9188s elapsed
  [F] 576/576  9189s elapsed
[saved] /home/omersayilgan/Desktop/ThesisGit/Python/fault_onset_study/results/F_samples.csv  (576 rows)

[saved] results/F_samples.csv  (576 rows)

landing rate by plant:
  healthy_y1.5             0.917  [0.804, 0.967]  (44/48)
  engout_y1.5              0.000  [0.000, 0.074]  (0/48)
  eta50_y1.5               0.812  [0.681, 0.898]  (39/48)
  eta15_y1.5               0.000  [0.000, 0.074]  (0/48)
  gimbal_slow_y1.5         0.479  [0.345, 0.617]  (23/48)
  gimbal_undamped_y1.5     0.583  [0.443, 0.712]  (28/48)
  healthy_y0.25            0.896  [0.778, 0.955]  (43/48)
  engout_y0.25             0.708  [0.568, 0.818]  (34/48)
  eta50_y0.25              0.854  [0.728, 0.928]  (41/48)
  eta15_y0.25              0.833  [0.704, 0.913]  (40/48)
  gimbal_slow_y0.25        0.479  [0.345, 0.617]  (23/48)
  gimbal_undamped_y0.25    0.562  [0.423, 0.693]  (27/48)

Study F complete.
