F_auth_frac,F_authority,F_dim,F_min_support,F_origin,F_size,F_size_frac,F_sup_frac,F_vol_frac,F_volume,M_auth_frac,M_authority,M_dim,M_min_support,M_origin,M_size,M_size_frac,M_sup_frac,M_vol_frac,M_volume,applicable,category,fault,label,n_eng,n_rcs,tier,vehicle,worst_unit
0.5324129380161962,14618.678917612973,3,1072.3419229583017,True,1564188009992.1714,0.19155762502359824,1.0,0.19155762502359824,1564188009992.1714,0.5507129529546781,18942.634889365137,3,5244.259623920767,True,10486231028134.514,0.27698418713814876,0.765651442084541,0.27698418713814876,10486231028134.514,True,Crewed Vehicles,thrust_loss_50,"Thrust reduction, $\eta$=0.50",1,16,engine,Apollo Command & Service Module,0
1.2805522371902822,35160.64440970861,3,1072.3419229583017,True,16054426224920.934,1.966098537462781,1.0,1.966098537462781,16054426224920.934,1.2695722282271933,43668.92599122256,3,7812.498094113628,True,62428114806478.055,1.6489814679693842,1.1406091347492755,1.6489814679693842,62428114806478.055,True,Crewed Vehicles,thrust_excess,"Thrust excess, $\eta$=1.30",1,16,engine,Apollo Command & Service Module,0
1.0000167483387485,27457.86721613221,3,1072.3419229583017,True,8166075413265.823,1.0000549818411077,1.0,1.0000549818411077,8166075413265.823,0.9992684896862855,34371.40538463495,3,5837.269862332003,True,37787635494201.39,0.9981257778082753,0.852229753756877,0.9981257778082753,37787635494201.39,True,Crewed Vehicles,tvc_bias,"TVC misalignment (3°, 2°)",1,16,engine,Apollo Command & Service Module,0
0.8951118425570709,24577.450485053192,3,1005.6746741963638,True,300205900000.0,0.03676458894628635,0.937830231818205,0.03676458894628635,300205900000.0,0.10142590590935632,3488.7029507042544,3,1855.7699939274364,True,84929431430.14401,0.0022433331352006737,0.2709387166010431,0.0022433331352006737,84929431430.14401,True,Crewed Vehicles,gimbal_seized,Gimbal seizure,1,16,engine,Apollo Command & Service Module,0
0.7808477144772936,21440.053774854434,3,-25136.881192598834,False,7760657882321.444,0.9504056948790981,-23.441106473999422,0.9504056948790981,7760657882321.444,1.0,34396.56682802602,3,6849.408667791305,True,37858590905423.766,1.0,1.0,1.0,37858590905423.766,True,Crewed Vehicles,valve_stuck_open,Valve stuck open (30 % floor),1,16,engine,Apollo Command & Service Module,0
0.9959482700394396,27346.157350172747,3,1026.3585896249683,True,8070474636665.7705,0.9883472730497527,0.9571187768109656,0.9883472730497527,8070474636665.7705,0.9936590221042298,34178.45895807913,3,6809.920301645314,True,37358413032423.37,0.9867882596515566,0.9942347773273216,0.9867882596515566,37358413032423.37,True,Crewed Vehicles,rcs_out,RCS thruster dead,1,16,rcs,Apollo Command & Service Module,0
0.9959482700394396,27346.157350172747,3,1026.3585896249683,True,8070474636665.7705,0.9883472730497527,0.9571187768109656,0.9883472730497527,8070474636665.7705,0.9936590221042298,34178.45895807913,3,6809.920301645314,True,37358413032423.37,0.9867882596515566,0.9942347773273216,0.9867882596515566,37358413032423.37,True,Crewed Vehicles,rcs_stuck_open,RCS thruster stuck open,1,16,rcs,Apollo Command & Service Module,1
0.11531279589782598,1779.9504850531912,3,946.821425473182,True,11279504000.000002,0.0044923761612851495,0.8390397409072088,0.0044923761612851495,11279504000.000002,0.2399378261897305,3025.9158245904246,3,1609.5964233044094,True,55416203152.0,0.014657344631889361,0.3876706736242256,0.014657344631889361,55416203152.0,True,Crewed Vehicles,engine_out,Engine out,1,16,engine,Apollo Lunar Module,0
0.2480158765131521,3828.3347157034837,3,1080.7593912809707,True,79923928080.67355,0.03183192711540211,0.9577308405227917,0.03183192711540211,79923928080.67355,0.35394715226127094,4463.715897172433,3,3305.710982494041,True,253211495185.1229,0.06697333881760886,0.7961792066855886,0.06697333881760886,253211495185.1229,True,Crewed Vehicles,thrust_loss_85,"Thrust reduction, $\eta$=0.15",1,16,engine,Apollo Lunar Module,0
0.557656397948913,8607.897920554165,3,1100.4001507005305,True,559238352714.8171,0.2227322268968937,0.9751357885428183,0.2227322268968937,559238352714.8171,0.6199689130948652,7818.5827331971195,3,3654.169958211818,True,1210236881518.9321,0.32010238972869504,0.8801054156974051,0.32010238972869504,1210236881518.9321,True,Crewed Vehicles,thrust_loss_50,"Thrust reduction, $\eta$=0.50",1,16,engine,Apollo Lunar Module,0
