N_rem,alt,fault,iters,klass,lands,margin,outcome,point,pos_err,rate_deg,rng,section,structure,t_f,tilt_0,tilt_deg,v_desc_0,v_horiz,v_horiz_0,v_vert,wall
60,282.4549151778067,slow_thrust,150,multiplicative,True,0.6009034185048132,land,6,3.5755050123728504e-05,0.0014983867184029133,1275.8782794737574,2.5,multiplicative,25.0,20.062292577483905,0.0020814846816633948,8.313204708071043,2.463570835068009e-05,59.15533486164134,1.8027102555144396,34.780388593673706
55,211.89971928079592,slow_thrust,72,multiplicative,True,0.6009089340186108,land,7,7.579422822723304e-06,0.0023017385763322465,978.4891140323834,2.5,multiplicative,30.0,31.25107208588853,0.00039581315667880536,28.06377692264284,3.5548596566836045e-06,52.934654215708925,1.8027268020558322,21.60402274131775
51,159.80179157123658,slow_thrust,58,multiplicative,True,0.6009031336481612,land,8,5.108149522210192e-05,0.0012480712447896442,739.460979388465,2.5,multiplicative,34.0,54.46242124916059,0.002975979780303555,51.75396553176433,3.5409489028504695e-05,30.35666463450774,1.8027094009444835,17.659592151641846
47,109.00383724834768,slow_thrust,46,multiplicative,True,0.600903560529115,land,9,5.933576517754545e-06,0.002886877073084072,499.20971160107734,2.5,multiplicative,38.0,50.70774445056735,0.000318222336899038,50.32792516928573,3.1290710054785736e-06,32.6664963555655,1.8027106815873448,15.645148754119873
43,56.19745930050679,slow_thrust,31,multiplicative,True,0.6009094204762312,land,10,2.388145653752393e-05,0.004837693964392673,263.86321605494487,2.5,multiplicative,42.0,60.22259519691488,0.0014249629034482213,51.90204074611806,1.8594785866842838e-05,19.82121159451976,1.8027282614286935,13.000794410705566
39,19.15574425039258,slow_thrust,31,multiplicative,True,0.6009015186003595,land,11,3.183416603666789e-06,0.001987899345316577,87.31531456645605,2.5,multiplicative,46.0,62.88595225261751,0.00019757793632314087,32.08769130694379,2.853829370366641e-06,12.417934527400181,1.8027045558010784,11.566452980041504
34,3.8072653166479418,slow_thrust,45,multiplicative,True,0.6009011716429604,land,12,1.6218006601342922e-05,0.001458931097193471,17.911836815533665,2.5,multiplicative,51.0,62.865110661079726,0.0009308670565124834,6.055084667661089,1.0968704752183812e-05,5.678429528714541,1.8027035149288813,11.271976232528687
30,7.785311977454762,slow_thrust,20,multiplicative,True,0.6009012290358399,land,13,2.794565601853556e-07,0.0017715778184290397,17.049075660045983,2.5,multiplicative,55.0,20.743017850954175,1.5839192074696695e-05,1.924104743234002,2.201556847242728e-07,4.871269687938275,1.8027036871075195,8.714401006698608
26,1.5917432622180052,slow_thrust,20,multiplicative,True,0.6009010063100301,land,14,6.40931849587733e-06,0.0013862665944463627,1.9827376428065278,2.5,multiplicative,59.0,26.92365442634238,0.0003731638286633046,1.1409760420306965,4.442710560059912e-06,1.1196185188147103,1.80270301893009,7.028338670730591
85,736.4545454545455,thrust_excess,247,multiplicative,True,0.6009225569105439,land,0,1.4006728668607692e-05,0.0011826317492280066,2724.0876879026487,2.2,multiplicative,0.0,14.999999999999998,0.0008123703267647713,29.342215215238426,9.642094329959395e-06,49.07796705149123,1.8027676707316316,50.98151206970215
81,665.8843124224463,thrust_excess,200,multiplicative,True,0.6009052510748517,land,1,3.483104790154778e-05,0.0052005871454771715,2502.283818723659,2.2,multiplicative,4.0,9.191669730925033,0.0019965033718652384,16.246253319313137,2.3395164081457648e-05,57.758629563767805,1.8027157532245552,44.931861877441406
77,587.2765091311609,thrust_excess,200,multiplicative,True,0.6009184193826217,land,2,3.702982239976492e-05,0.0050729830879741936,2269.021730789497,2.2,multiplicative,8.0,10.22187434410048,0.002123045708800583,28.671728873929897,2.492525071208676e-05,52.70609072372358,1.802755258147865,43.94552779197693
72,495.1487237150771,thrust_excess,220,multiplicative,True,0.6009056567520475,land,3,3.5798797638573564e-05,0.0022229346618900087,1979.5321223507726,2.2,multiplicative,13.0,43.14312869759706,0.0020596376887246147,4.089293894893052,2.4322543265402457e-05,59.860485392628206,1.8027169702561427,44.28045582771301
68,419.08185201377603,thrust_excess,195,multiplicative,True,0.6009119338570036,land,4,3.558787498565365e-05,0.002308090947521791,1745.6235411771163,2.2,multiplicative,17.0,38.20686033111046,0.0020461767355139894,30.883072386511085,2.4156636073500515e-05,51.314722556044664,1.8027358015710109,45.54720997810364
64,350.31191945099016,thrust_excess,152,multiplicative,True,0.6009064891159569,land,5,3.259955491055903e-05,0.0017095078837247176,1512.2056558825393,2.2,multiplicative,21.0,22.294166351862454,0.0018749649224976037,33.79393217601729,2.2154853946194703e-05,49.57792032833256,1.8027194673478706,38.18383812904358
60,282.4549151778067,thrust_excess,157,multiplicative,True,0.6009206928291773,land,6,3.1294957919910605e-05,0.001993550712848139,1275.8782794737574,2.2,multiplicative,25.0,20.062292577483905,0.0017958181858825837,8.313204708071043,2.1185110600781532e-05,59.15533486164134,1.8027620784875318,35.09193992614746
55,211.89971928079592,thrust_excess,141,multiplicative,True,0.6009143566147123,land,7,1.0668450582127961e-05,0.00029580306685510866,978.4891140323834,2.2,multiplicative,30.0,31.25107208588853,0.0006240809086005536,28.06377692264284,7.610437346957399e-06,52.934654215708925,1.802743069844137,31.4292094707489
51,159.80179157123658,thrust_excess,144,multiplicative,True,0.6009043170585238,land,8,2.5803020245836685e-05,0.003593279875064818,739.460979388465,2.2,multiplicative,34.0,54.46242124916059,0.0014784269888384887,51.75396553176433,1.740165682281674e-05,30.35666463450774,1.8027129511755713,27.024773359298706
47,109.00383724834768,thrust_excess,50,multiplicative,True,0.6009086664386699,land,9,1.7910953913179722e-05,0.0010211792982530402,499.20971160107734,2.2,multiplicative,38.0,50.70774445056735,0.0010344889603859026,50.32792516928573,1.2235514572229105e-05,32.6664963555655,1.8027259993160096,16.030794382095337
43,56.19745930050679,thrust_excess,48,multiplicative,True,0.6009027857436379,land,10,4.866235319860235e-06,0.0008552148236218338,263.86321605494487,2.2,multiplicative,42.0,60.22259519691488,0.00027540296056067153,51.90204074611806,3.1287347157436e-06,19.82121159451976,1.8027083572309135,14.636008739471436
